time,weather,vehicle_count,traffic_level
7.0,0,180,High
7.5,0,190,High
8.0,0,200,High
8.5,0,150,High
9.0,1,100,Medium
9.5,0,90,Low
10.0,0,80,Low
10.5,0,70,Low
11.0,0,75,Low
11.5,1,85,Low
12.0,0,50,Low
12.5,0,60,Low
13.0,1,70,Low
13.5,0,80,Low
14.0,0,60,Medium
14.5,1,70,Medium
15.0,0,90,Medium
15.5,0,100,Medium
16.0,1,110,Medium
16.5,0,130,High
17.0,0,170,High
17.5,0,190,High
18.0,1,200,High
18.5,0,180,High
19.0,0,150,High
19.5,1,120,Medium
20.0,0,100,Medium
20.5,0,90,Low
21.0,1,80,Low
21.5,0,70,Low
22.0,0,30,Low
22.5,1,40,Low
23.0,0,20,Low
0.0,0,10,Low
0.5,1,15,Low
1.0,0,12,Low
1.5,0,10,Low
2.0,1,8,Low
2.5,0,5,Low
3.0,0,7,Low
3.5,1,6,Low
4.0,0,9,Low
4.5,0,12,Low
5.0,1,20,Low
5.5,0,40,Low
6.0,0,70,Low
6.5,1,100,Medium
7.0,1,150,High
7.5,1,170,High
8.0,1,190,High
8.5,1,160,High
9.0,0,110,Medium
9.5,1,95,Medium
10.0,0,85,Low
10.5,1,75,Low
11.0,0,72,Low
11.5,0,68,Low
12.0,1,55,Low
12.5,0,62,Low
13.0,0,71,Low
13.5,1,78,Low
14.0,1,65,Medium
14.5,0,75,Medium
15.0,1,95,Medium
15.5,0,105,Medium
16.0,0,115,Medium
16.5,1,135,High
17.0,1,175,High
17.5,1,195,High
18.0,0,185,High
18.5,1,165,High
19.0,0,140,High
19.5,0,115,Medium
20.0,1,102,Medium
20.5,1,92,Low
21.0,0,82,Low
21.5,1,73,Low
22.0,1,35,Low
22.5,0,42,Low
23.0,1,25,Low
0.0,1,14,Low
0.5,0,16,Low
1.0,1,13,Low
1.5,1,11,Low
2.0,0,9,Low
2.5,1,6,Low
3.0,1,8,Low
3.5,0,7,Low
4.0,1,10,Low
4.5,1,13,Low
5.0,0,22,Low
5.5,1,43,Low
6.0,1,73,Low
6.5,0,105,Medium